elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
1:0:27,2540,15:4:17,11923.1,69.530594,15.803485,9509.72,155570.16,11.9687,15.71,-9.2734,-115
1:0:29,2541,15:4:19,11923.1,69.530594,15.803485,9495.96,155570.16,12.0,15.69,-9.2734,-115
0:43:40,2542,15:4:21,11923.1,69.530594,15.803485,9481.84,155570.16,12.0156,15.39,-9.2891,-108
0:43:42,2543,15:4:23,11923.1,69.530594,15.803485,9465.51,155570.16,12.0156,15.39,-9.2891,-116
0:43:44,2544,15:4:26,11923.1,69.530594,15.803485,9454.57,150400.0,12.0391,15.1,-9.2891,-113
0:43:46,2545,15:4:28,11923.1,69.530594,15.803485,9437.01,150400.0,12.0469,14.99,-9.2578,-112
0:43:49,2546,15:4:30,11923.1,69.530594,15.803485,9417.28,155570.16,12.1016,15.15,-9.2578,-110
1:0:42,2547,15:4:32,11923.1,69.530594,15.803485,9410.63,155570.16,12.1016,15.03,-9.2578,-114
1:0:45,2548,15:4:34,11923.1,69.530594,15.803485,9395.75,155570.16,12.1328,14.85,-9.2578,-114
1:0:47,2549,15:4:37,11923.1,69.530594,15.803485,9379.98,155570.16,12.1172,14.89,-9.2578,-113
1:15:9,2550,15:4:39,11923.1,69.530594,15.803485,9362.91,161096.59,12.1172,14.89,-9.2578,-123
1:15:11,2551,15:4:41,11923.1,69.530594,15.803485,9349.23,161096.59,12.1484,15.0,-9.2578,-127
1:15:13,2552,15:4:43,11923.1,69.530594,15.803485,9334.8,155570.16,12.0859,15.19,-9.25,-116
1:15:15,2553,15:4:45,11923.1,69.530594,15.803485,9319.72,155570.16,12.0312,14.89,-9.25,-114
1:15:18,2554,15:4:47,11923.1,69.530594,15.803485,9308.86,155570.16,11.9297,14.69,-9.25,-114
1:15:20,2555,15:4:50,11923.1,69.530594,15.803485,9296.03,155570.16,11.7344,14.35,-9.25,-116
0:44:10,2556,15:4:52,11923.1,69.530594,15.803485,9280.79,155570.16,11.7344,14.35,-9.25,-108
1:1:4,2557,15:4:54,11923.1,69.530594,15.803485,9272.69,161096.59,11.6641,14.38,-9.2344,-114
1:15:26,2558,15:4:56,11923.1,69.530594,15.803485,9255.83,155570.16,11.625,14.25,-9.25,-118
0:44:17,2559,15:4:58,11923.1,69.530594,15.803485,9240.97,155570.16,11.6328,14.15,-9.2188,-115
1:1:11,2560,15:5:0,11923.1,69.530594,15.803485,9229.77,155570.16,11.6484,13.87,-9.2344,-113
1:1:13,2561,15:5:3,11923.1,69.530594,15.803485,9217.64,155570.16,11.6484,13.47,-9.2187,-116
0:44:23,2562,15:5:5,11923.1,69.530594,15.803485,9202.95,155570.16,11.7188,13.62,-9.2188,-126
0:44:26,2563,15:5:7,11923.1,69.530594,15.803485,9190.72,150400.0,11.7188,13.62,-9.2188,-120
0:44:28,2564,15:5:9,11923.1,69.530594,15.803485,9180.89,155570.16,11.7969,13.53,-9.2344,-115
1:1:22,2565,15:5:11,11923.1,69.530594,15.803485,9164.1,155570.16,11.8672,13.41,-9.2344,-119
0:44:32,2566,15:5:14,11923.1,69.530594,15.803485,9153.26,150400.0,11.8828,13.35,-9.2031,-113
1:15:46,2567,15:5:16,11923.1,69.530594,15.803485,9136.7,155570.16,11.8984,13.3,-9.2187,-114
1:15:48,2568,15:5:18,11923.1,69.530594,15.803485,9119.83,155570.16,11.8984,13.28,-9.1875,-119
1:15:50,2569,15:5:20,11923.1,69.530594,15.803485,9107.16,155570.16,11.9453,13.13,-9.2187,-131
0:44:41,2570,15:5:22,11923.1,69.530594,15.803485,9094.98,155570.16,11.8984,13.31,-9.2031,-120
1:15:55,2571,15:5:24,11923.1,69.530594,15.803485,9082.26,155570.16,11.9141,13.16,-9.2031,-115
1:15:57,2572,15:5:27,11923.1,69.530594,15.803485,9068.71,155570.16,11.8672,12.92,-9.2031,-114
1:15:59,2573,15:5:29,11923.1,69.530594,15.803485,9056.3,155570.16,11.7812,13.21,-9.1875,-113
0:44:50,2574,15:5:31,11923.1,69.530594,15.803485,9041.54,155570.16,11.75,13.26,-9.1875,-111
0:44:52,2575,15:5:33,11923.1,69.530594,15.803485,9029.43,155570.16,11.7188,13.12,-9.1875,-115
